# First_column    Converted_second_column
300.0    -0.253071
310.0    -0.279196
320.0    -0.305804
330.0    -0.332880
340.0    -0.360414
350.0    -0.388392
360.0    -0.416804
370.0    -0.445638
380.0    -0.474884
390.0    -0.504533
400.0    -0.534575
410.0    -0.565000
420.0    -0.595801
430.0    -0.626970
440.0    -0.658497
450.0    -0.690376
460.0    -0.722599
470.0    -0.755160
480.0    -0.788052
490.0    -0.821267
500.0    -0.854801
510.0    -0.888647
520.0    -0.922799
530.0    -0.957251
540.0    -0.991999
550.0    -1.027037
560.0    -1.062360
570.0    -1.097963
580.0    -1.133841
590.0    -1.169991
600.0    -1.206407
610.0    -1.243086
620.0    -1.280022
630.0    -1.317213
640.0    -1.354654
650.0    -1.392342
660.0    -1.430273
670.0    -1.468443
680.0    -1.506848
690.0    -1.545487
700.0    -1.584354
710.0    -1.623448
720.0    -1.662765
730.0    -1.702301
740.0    -1.742055
750.0    -1.782023
760.0    -1.822202
770.0    -1.862591
780.0    -1.903185
790.0    -1.943983
800.0    -1.984981
810.0    -2.026179
820.0    -2.067572
830.0    -2.109159
840.0    -2.150938
850.0    -2.192906
860.0    -2.235062
870.0    -2.277402
880.0    -2.319925
890.0    -2.362629
900.0    -2.405512
910.0    -2.448572
920.0    -2.491807
930.0    -2.535215
940.0    -2.578795
950.0    -2.622544
960.0    -2.666461
970.0    -2.710544
980.0    -2.754791
990.0    -2.799201
1000.0    -2.843772
1010.0    -2.888503
1020.0    -2.933391
1030.0    -2.978437
1040.0    -3.023637
1050.0    -3.068990
1060.0    -3.114496
1070.0    -3.160152
1080.0    -3.205958
1090.0    -3.251911
1100.0    -3.298011
1110.0    -3.344257
1120.0    -3.390646
1130.0    -3.437178
1140.0    -3.483851
1150.0    -3.530665
1160.0    -3.577617
1170.0    -3.624707
1180.0    -3.671934
1190.0    -3.719297
1200.0    -3.766794
1210.0    -3.814424
1220.0    -3.862186
1230.0    -3.910080
1240.0    -3.958103
1250.0    -4.006256
1260.0    -4.054536
1270.0    -4.102944
1280.0    -4.151477
1290.0    -4.200136
1300.0    -4.248918
1310.0    -4.297824
1320.0    -4.346852
1330.0    -4.396001
1340.0    -4.445271
1350.0    -4.494660
1360.0    -4.544167
1370.0    -4.593793
1380.0    -4.643535
1390.0    -4.693393
1400.0    -4.743367
1410.0    -4.793455
1420.0    -4.843656
1430.0    -4.893971
1440.0    -4.944397
1450.0    -4.994934
1460.0    -5.045583
1470.0    -5.096340
1480.0    -5.147207
1490.0    -5.198182
1500.0    -5.249265
1510.0    -5.300454
1520.0    -5.351750
1530.0    -5.403151
1540.0    -5.454657
1550.0    -5.506267
1560.0    -5.557980
1570.0    -5.609796
1580.0    -5.661714
1590.0    -5.713734
1600.0    -5.765854
1610.0    -5.818075
1620.0    -5.870395
1630.0    -5.922814
1640.0    -5.975332
1650.0    -6.027947
1660.0    -6.080660
1670.0    -6.133469
1680.0    -6.186374
1690.0    -6.239374
1700.0    -6.292470
1710.0    -6.345660
1720.0    -6.398943
1730.0    -6.452320
1740.0    -6.505790
1750.0    -6.559351
1760.0    -6.613005
1770.0    -6.666749
1780.0    -6.720584
1790.0    -6.774510
1800.0    -6.828524
1810.0    -6.882628
1820.0    -6.936821
1830.0    -6.991102
1840.0    -7.045470
1850.0    -7.099926
1860.0    -7.154468
1870.0    -7.209097
1880.0    -7.263812
1890.0    -7.318611
1900.0    -7.373496
1910.0    -7.428465
1920.0    -7.483518
1930.0    -7.538655
1940.0    -7.593875
1950.0    -7.649178
1960.0    -7.704563
1970.0    -7.760029
1980.0    -7.815578
1990.0    -7.871207
2000.0    -7.926917
