# First_column    Converted_second_column
300.0    0.569133
310.0    0.550530
320.0    0.531321
330.0    0.511514
340.0    0.491120
350.0    0.470148
360.0    0.448608
370.0    0.426508
380.0    0.403858
390.0    0.380667
400.0    0.356943
410.0    0.332694
420.0    0.307930
430.0    0.282658
440.0    0.256885
450.0    0.230621
460.0    0.203872
470.0    0.176645
480.0    0.148948
490.0    0.120789
500.0    0.092173
510.0    0.063107
520.0    0.033599
530.0    0.003654
540.0    -0.026721
550.0    -0.057521
560.0    -0.088739
570.0    -0.120369
580.0    -0.152407
590.0    -0.184846
600.0    -0.217680
610.0    -0.250906
620.0    -0.284517
630.0    -0.318509
640.0    -0.352876
650.0    -0.387614
660.0    -0.422718
670.0    -0.458183
680.0    -0.494006
690.0    -0.530181
700.0    -0.566705
710.0    -0.603573
720.0    -0.640780
730.0    -0.678324
740.0    -0.716200
750.0    -0.754404
760.0    -0.792933
770.0    -0.831782
780.0    -0.870949
790.0    -0.910429
800.0    -0.950220
810.0    -0.990317
820.0    -1.030718
830.0    -1.071419
840.0    -1.112417
850.0    -1.153709
860.0    -1.195291
870.0    -1.237162
880.0    -1.279317
890.0    -1.321754
900.0    -1.364471
910.0    -1.407464
920.0    -1.450730
930.0    -1.494267
940.0    -1.538073
950.0    -1.582144
960.0    -1.626478
970.0    -1.671073
980.0    -1.715927
990.0    -1.761036
1000.0    -1.806398
1010.0    -1.852012
1020.0    -1.897874
1030.0    -1.943983
1040.0    -1.990337
1050.0    -2.036933
1060.0    -2.083768
1070.0    -2.130842
1080.0    -2.178152
1090.0    -2.225696
1100.0    -2.273471
1110.0    -2.321477
1120.0    -2.369710
1130.0    -2.418170
1140.0    -2.466854
1150.0    -2.515761
1160.0    -2.564888
1170.0    -2.614234
1180.0    -2.663797
1190.0    -2.713575
1200.0    -2.763567
1210.0    -2.813772
1220.0    -2.864186
1230.0    -2.914809
1240.0    -2.965640
1250.0    -3.016675
1260.0    -3.067915
1270.0    -3.119358
1280.0    -3.171001
1290.0    -3.222844
1300.0    -3.274884
1310.0    -3.327122
1320.0    -3.379554
1330.0    -3.432181
1340.0    -3.484999
1350.0    -3.538009
1360.0    -3.591208
1370.0    -3.644595
1380.0    -3.698170
1390.0    -3.751930
1400.0    -3.805875
1410.0    -3.860003
1420.0    -3.914312
1430.0    -3.968803
1440.0    -4.023473
1450.0    -4.078321
1460.0    -4.133346
1470.0    -4.188548
1480.0    -4.243924
1490.0    -4.299474
1500.0    -4.355196
1510.0    -4.411090
1520.0    -4.467154
1530.0    -4.523388
1540.0    -4.579790
1550.0    -4.636359
1560.0    -4.693094
1570.0    -4.749994
1580.0    -4.807058
1590.0    -4.864285
1600.0    -4.921675
1610.0    -4.979225
1620.0    -5.036936
1630.0    -5.094806
1640.0    -5.152834
1650.0    -5.211020
1660.0    -5.269362
1670.0    -5.327859
1680.0    -5.386511
1690.0    -5.445317
1700.0    -5.504276
1710.0    -5.563386
1720.0    -5.622648
1730.0    -5.682060
1740.0    -5.741621
1750.0    -5.801331
1760.0    -5.861188
1770.0    -5.921192
1780.0    -5.981343
1790.0    -6.041639
1800.0    -6.102079
1810.0    -6.162663
1820.0    -6.223390
1830.0    -6.284260
1840.0    -6.345271
1850.0    -6.406422
1860.0    -6.467713
1870.0    -6.529144
1880.0    -6.590713
1890.0    -6.652420
1900.0    -6.714264
1910.0    -6.776245
1920.0    -6.838361
1930.0    -6.900612
1940.0    -6.962997
1950.0    -7.025516
1960.0    -7.088168
1970.0    -7.150953
1980.0    -7.213869
1990.0    -7.276915
2000.0    -7.340093
