# First_column    Converted_second_column
300.0    -0.373406
310.0    -0.395571
320.0    -0.418035
330.0    -0.440790
340.0    -0.463825
350.0    -0.487134
360.0    -0.510708
370.0    -0.534540
380.0    -0.558624
390.0    -0.582954
400.0    -0.607522
410.0    -0.632323
420.0    -0.657351
430.0    -0.682602
440.0    -0.708069
450.0    -0.733749
460.0    -0.759636
470.0    -0.785727
480.0    -0.812016
490.0    -0.838500
500.0    -0.865174
510.0    -0.892036
520.0    -0.919081
530.0    -0.946306
540.0    -0.973708
550.0    -1.001283
560.0    -1.029028
570.0    -1.056940
580.0    -1.085017
590.0    -1.113255
600.0    -1.141652
610.0    -1.170205
620.0    -1.198911
630.0    -1.227769
640.0    -1.256775
650.0    -1.285928
660.0    -1.315225
670.0    -1.344664
680.0    -1.374244
690.0    -1.403961
700.0    -1.433813
710.0    -1.463800
720.0    -1.493919
730.0    -1.524169
740.0    -1.554546
750.0    -1.585051
760.0    -1.615681
770.0    -1.646434
780.0    -1.677309
790.0    -1.708304
800.0    -1.739418
810.0    -1.770649
820.0    -1.801997
830.0    -1.833458
840.0    -1.865033
850.0    -1.896720
860.0    -1.928517
870.0    -1.960423
880.0    -1.992437
890.0    -2.024558
900.0    -2.056784
910.0    -2.089115
920.0    -2.121549
930.0    -2.154085
940.0    -2.186722
950.0    -2.219458
960.0    -2.252294
970.0    -2.285228
980.0    -2.318258
990.0    -2.351384
1000.0    -2.384605
1010.0    -2.417920
1020.0    -2.451328
1030.0    -2.484828
1040.0    -2.518420
1050.0    -2.552101
1060.0    -2.585872
1070.0    -2.619732
1080.0    -2.653680
1090.0    -2.687714
1100.0    -2.721835
1110.0    -2.756041
1120.0    -2.790332
1130.0    -2.824706
1140.0    -2.859164
1150.0    -2.893704
1160.0    -2.928326
1170.0    -2.963029
1180.0    -2.997813
1190.0    -3.032676
1200.0    -3.067618
1210.0    -3.102638
1220.0    -3.137736
1230.0    -3.172911
1240.0    -3.208162
1250.0    -3.243489
1260.0    -3.278891
1270.0    -3.314368
1280.0    -3.349919
1290.0    -3.385544
1300.0    -3.421241
1310.0    -3.457010
1320.0    -3.492851
1330.0    -3.528764
1340.0    -3.564747
1350.0    -3.600800
1360.0    -3.636923
1370.0    -3.673115
1380.0    -3.709376
1390.0    -3.745705
1400.0    -3.782101
1410.0    -3.818565
1420.0    -3.855095
1430.0    -3.891691
1440.0    -3.928353
1450.0    -3.965081
1460.0    -4.001873
1470.0    -4.038730
1480.0    -4.075650
1490.0    -4.112634
1500.0    -4.149681
1510.0    -4.186791
1520.0    -4.223964
1530.0    -4.261198
1540.0    -4.298493
1550.0    -4.335849
1560.0    -4.373267
1570.0    -4.410744
1580.0    -4.448281
1590.0    -4.485878
1600.0    -4.523534
1610.0    -4.561249
1620.0    -4.599022
1630.0    -4.636853
1640.0    -4.674742
1650.0    -4.712688
1660.0    -4.750691
1670.0    -4.788751
1680.0    -4.826867
1690.0    -4.865039
1700.0    -4.903267
1710.0    -4.941550
1720.0    -4.979888
1730.0    -5.018280
1740.0    -5.056727
1750.0    -5.095228
1760.0    -5.133783
1770.0    -5.172391
1780.0    -5.211052
1790.0    -5.249767
1800.0    -5.288533
1810.0    -5.327352
1820.0    -5.366223
1830.0    -5.405146
1840.0    -5.444119
1850.0    -5.483145
1860.0    -5.522220
1870.0    -5.561347
1880.0    -5.600523
1890.0    -5.639750
1900.0    -5.679027
1910.0    -5.718353
1920.0    -5.757728
1930.0    -5.797152
1940.0    -5.836625
1950.0    -5.876146
1960.0    -5.915716
1970.0    -5.955333
1980.0    -5.994999
1990.0    -6.034711
2000.0    -6.074472
