# First_column    Converted_second_column
300.0    0.347057
310.0    0.342130
320.0    0.337001
330.0    0.331673
340.0    0.326147
350.0    0.320426
360.0    0.314510
370.0    0.308402
380.0    0.302105
390.0    0.295619
400.0    0.288947
410.0    0.282090
420.0    0.275052
430.0    0.267834
440.0    0.260438
450.0    0.252866
460.0    0.245121
470.0    0.237204
480.0    0.229117
490.0    0.220862
500.0    0.212442
510.0    0.203858
520.0    0.195113
530.0    0.186207
540.0    0.177144
550.0    0.167924
560.0    0.158551
570.0    0.149025
580.0    0.139348
590.0    0.129523
600.0    0.119550
610.0    0.109433
620.0    0.099171
630.0    0.088768
640.0    0.078224
650.0    0.067541
660.0    0.056721
670.0    0.045766
680.0    0.034676
690.0    0.023453
700.0    0.012100
710.0    0.000616
720.0    -0.010995
730.0    -0.022734
740.0    -0.034599
750.0    -0.046587
760.0    -0.058699
770.0    -0.070932
780.0    -0.083285
790.0    -0.095758
800.0    -0.108349
810.0    -0.121056
820.0    -0.133879
830.0    -0.146816
840.0    -0.159867
850.0    -0.173030
860.0    -0.186303
870.0    -0.199687
880.0    -0.213179
890.0    -0.226779
900.0    -0.240486
910.0    -0.254299
920.0    -0.268217
930.0    -0.282238
940.0    -0.296362
950.0    -0.310588
960.0    -0.324915
970.0    -0.339342
980.0    -0.353869
990.0    -0.368493
1000.0    -0.383215
1010.0    -0.398034
1020.0    -0.412948
1030.0    -0.427957
1040.0    -0.443060
1050.0    -0.458256
1060.0    -0.473545
1070.0    -0.488926
1080.0    -0.504397
1090.0    -0.519959
1100.0    -0.535610
1110.0    -0.551350
1120.0    -0.567178
1130.0    -0.583093
1140.0    -0.599095
1150.0    -0.615182
1160.0    -0.631355
1170.0    -0.647612
1180.0    -0.663954
1190.0    -0.680378
1200.0    -0.696885
1210.0    -0.713474
1220.0    -0.730145
1230.0    -0.746896
1240.0    -0.763727
1250.0    -0.780638
1260.0    -0.797628
1270.0    -0.814696
1280.0    -0.831842
1290.0    -0.849066
1300.0    -0.866366
1310.0    -0.883742
1320.0    -0.901194
1330.0    -0.918721
1340.0    -0.936322
1350.0    -0.953998
1360.0    -0.971747
1370.0    -0.989569
1380.0    -1.007464
1390.0    -1.025430
1400.0    -1.043469
1410.0    -1.061578
1420.0    -1.079758
1430.0    -1.098008
1440.0    -1.116328
1450.0    -1.134717
1460.0    -1.153174
1470.0    -1.171700
1480.0    -1.190294
1490.0    -1.208956
1500.0    -1.227684
1510.0    -1.246480
1520.0    -1.265341
1530.0    -1.284268
1540.0    -1.303261
1550.0    -1.322318
1560.0    -1.341440
1570.0    -1.360626
1580.0    -1.379876
1590.0    -1.399190
1600.0    -1.418567
1610.0    -1.438006
1620.0    -1.457507
1630.0    -1.477071
1640.0    -1.496696
1650.0    -1.516382
1660.0    -1.536129
1670.0    -1.555937
1680.0    -1.575804
1690.0    -1.595732
1700.0    -1.615719
1710.0    -1.635765
1720.0    -1.655870
1730.0    -1.676034
1740.0    -1.696255
1750.0    -1.716535
1760.0    -1.736872
1770.0    -1.757266
1780.0    -1.777717
1790.0    -1.798225
1800.0    -1.818789
1810.0    -1.839409
1820.0    -1.860085
1830.0    -1.880816
1840.0    -1.901603
1850.0    -1.922444
1860.0    -1.943339
1870.0    -1.964289
1880.0    -1.985293
1890.0    -2.006351
1900.0    -2.027462
1910.0    -2.048626
1920.0    -2.069843
1930.0    -2.091113
1940.0    -2.112435
1950.0    -2.133809
1960.0    -2.155235
1970.0    -2.176713
1980.0    -2.198241
1990.0    -2.219821
2000.0    -2.241452
