# First_column    Converted_second_column
300.0    0.091282
310.0    0.076215
320.0    0.060732
330.0    0.044843
340.0    0.028558
350.0    0.011884
360.0    -0.005168
370.0    -0.022592
380.0    -0.040380
390.0    -0.058523
400.0    -0.077014
410.0    -0.095846
420.0    -0.115012
430.0    -0.134507
440.0    -0.154322
450.0    -0.174452
460.0    -0.194892
470.0    -0.215635
480.0    -0.236676
490.0    -0.258010
500.0    -0.279630
510.0    -0.301533
520.0    -0.323714
530.0    -0.346167
540.0    -0.368888
550.0    -0.391873
560.0    -0.415118
570.0    -0.438618
580.0    -0.462369
590.0    -0.486367
600.0    -0.510609
610.0    -0.535091
620.0    -0.559809
630.0    -0.584760
640.0    -0.609940
650.0    -0.635347
660.0    -0.660976
670.0    -0.686825
680.0    -0.712891
690.0    -0.739171
700.0    -0.765661
710.0    -0.792360
720.0    -0.819264
730.0    -0.846371
740.0    -0.873678
750.0    -0.901182
760.0    -0.928882
770.0    -0.956774
780.0    -0.984857
790.0    -1.013127
800.0    -1.041584
810.0    -1.070224
820.0    -1.099045
830.0    -1.128046
840.0    -1.157224
850.0    -1.186577
860.0    -1.216104
870.0    -1.245802
880.0    -1.275669
890.0    -1.305705
900.0    -1.335906
910.0    -1.366271
920.0    -1.396799
930.0    -1.427487
940.0    -1.458334
950.0    -1.489339
960.0    -1.520499
970.0    -1.551814
980.0    -1.583282
990.0    -1.614900
1000.0    -1.646669
1010.0    -1.678586
1020.0    -1.710649
1030.0    -1.742859
1040.0    -1.775212
1050.0    -1.807708
1060.0    -1.840346
1070.0    -1.873123
1080.0    -1.906040
1090.0    -1.939094
1100.0    -1.972285
1110.0    -2.005611
1120.0    -2.039071
1130.0    -2.072664
1140.0    -2.106389
1150.0    -2.140244
1160.0    -2.174229
1170.0    -2.208342
1180.0    -2.242583
1190.0    -2.276950
1200.0    -2.311442
1210.0    -2.346059
1220.0    -2.380799
1230.0    -2.415661
1240.0    -2.450644
1250.0    -2.485748
1260.0    -2.520971
1270.0    -2.556312
1280.0    -2.591771
1290.0    -2.627347
1300.0    -2.663039
1310.0    -2.698845
1320.0    -2.734766
1330.0    -2.770799
1340.0    -2.806946
1350.0    -2.843203
1360.0    -2.879572
1370.0    -2.916050
1380.0    -2.952637
1390.0    -2.989333
1400.0    -3.026137
1410.0    -3.063047
1420.0    -3.100064
1430.0    -3.137186
1440.0    -3.174412
1450.0    -3.211742
1460.0    -3.249176
1470.0    -3.286712
1480.0    -3.324350
1490.0    -3.362090
1500.0    -3.399930
1510.0    -3.437869
1520.0    -3.475908
1530.0    -3.514045
1540.0    -3.552281
1550.0    -3.590613
1560.0    -3.629043
1570.0    -3.667568
1580.0    -3.706189
1590.0    -3.744905
1600.0    -3.783715
1610.0    -3.822618
1620.0    -3.861615
1630.0    -3.900705
1640.0    -3.939886
1650.0    -3.979159
1660.0    -4.018523
1670.0    -4.057977
1680.0    -4.097521
1690.0    -4.137154
1700.0    -4.176876
1710.0    -4.216686
1720.0    -4.256584
1730.0    -4.296570
1740.0    -4.336642
1750.0    -4.376800
1760.0    -4.417044
1770.0    -4.457373
1780.0    -4.497788
1790.0    -4.538286
1800.0    -4.578868
1810.0    -4.619534
1820.0    -4.660283
1830.0    -4.701114
1840.0    -4.742028
1850.0    -4.783023
1860.0    -4.824099
1870.0    -4.865256
1880.0    -4.906493
1890.0    -4.947810
1900.0    -4.989207
1910.0    -5.030682
1920.0    -5.072237
1930.0    -5.113869
1940.0    -5.155580
1950.0    -5.197368
1960.0    -5.239233
1970.0    -5.281175
1980.0    -5.323193
1990.0    -5.365286
2000.0    -5.407456
