# First_column    Converted_second_column
300.0    -0.087024
310.0    -0.106884
320.0    -0.127198
330.0    -0.147954
340.0    -0.169140
350.0    -0.190745
360.0    -0.212760
370.0    -0.235173
380.0    -0.257976
390.0    -0.281159
400.0    -0.304714
410.0    -0.328633
420.0    -0.352906
430.0    -0.377527
440.0    -0.402489
450.0    -0.427783
460.0    -0.453404
470.0    -0.479345
480.0    -0.505600
490.0    -0.532162
500.0    -0.559025
510.0    -0.586184
520.0    -0.613634
530.0    -0.641370
540.0    -0.669385
550.0    -0.697676
560.0    -0.726238
570.0    -0.755066
580.0    -0.784155
590.0    -0.813502
600.0    -0.843101
610.0    -0.872951
620.0    -0.903045
630.0    -0.933381
640.0    -0.963954
650.0    -0.994762
660.0    -1.025801
670.0    -1.057067
680.0    -1.088557
690.0    -1.120269
700.0    -1.152198
710.0    -1.184342
720.0    -1.216698
730.0    -1.249263
740.0    -1.282035
750.0    -1.315010
760.0    -1.348186
770.0    -1.381561
780.0    -1.415132
790.0    -1.448896
800.0    -1.482851
810.0    -1.516995
820.0    -1.551326
830.0    -1.585841
840.0    -1.620538
850.0    -1.655415
860.0    -1.690470
870.0    -1.725701
880.0    -1.761106
890.0    -1.796684
900.0    -1.832431
910.0    -1.868346
920.0    -1.904428
930.0    -1.940675
940.0    -1.977085
950.0    -2.013656
960.0    -2.050386
970.0    -2.087275
980.0    -2.124320
990.0    -2.161519
1000.0    -2.198872
1010.0    -2.236377
1020.0    -2.274032
1030.0    -2.311836
1040.0    -2.349787
1050.0    -2.387885
1060.0    -2.426127
1070.0    -2.464512
1080.0    -2.503039
1090.0    -2.541708
1100.0    -2.580515
1110.0    -2.619461
1120.0    -2.658543
1130.0    -2.697761
1140.0    -2.737114
1150.0    -2.776601
1160.0    -2.816219
1170.0    -2.855969
1180.0    -2.895848
1190.0    -2.935857
1200.0    -2.975993
1210.0    -3.016257
1220.0    -3.056646
1230.0    -3.097159
1240.0    -3.137797
1250.0    -3.178557
1260.0    -3.219439
1270.0    -3.260442
1280.0    -3.301565
1290.0    -3.342807
1300.0    -3.384167
1310.0    -3.425643
1320.0    -3.467237
1330.0    -3.508945
1340.0    -3.550769
1350.0    -3.592705
1360.0    -3.634755
1370.0    -3.676917
1380.0    -3.719190
1390.0    -3.761573
1400.0    -3.804066
1410.0    -3.846668
1420.0    -3.889378
1430.0    -3.932195
1440.0    -3.975119
1450.0    -4.018149
1460.0    -4.061284
1470.0    -4.104524
1480.0    -4.147867
1490.0    -4.191313
1500.0    -4.234861
1510.0    -4.278511
1520.0    -4.322262
1530.0    -4.366114
1540.0    -4.410065
1550.0    -4.454115
1560.0    -4.498264
1570.0    -4.542510
1580.0    -4.586854
1590.0    -4.631294
1600.0    -4.675830
1610.0    -4.720461
1620.0    -4.765187
1630.0    -4.810008
1640.0    -4.854921
1650.0    -4.899928
1660.0    -4.945028
1670.0    -4.990219
1680.0    -5.035502
1690.0    -5.080876
1700.0    -5.126340
1710.0    -5.171893
1720.0    -5.217536
1730.0    -5.263268
1740.0    -5.309088
1750.0    -5.354995
1760.0    -5.400990
1770.0    -5.447072
1780.0    -5.493240
1790.0    -5.539493
1800.0    -5.585832
1810.0    -5.632256
1820.0    -5.678764
1830.0    -5.725356
1840.0    -5.772031
1850.0    -5.818790
1860.0    -5.865631
1870.0    -5.912554
1880.0    -5.959558
1890.0    -6.006644
1900.0    -6.053811
1910.0    -6.101058
1920.0    -6.148385
1930.0    -6.195792
1940.0    -6.243278
1950.0    -6.290842
1960.0    -6.338485
1970.0    -6.386205
1980.0    -6.434004
1990.0    -6.481879
2000.0    -6.529831
