# First_column    Converted_second_column
300.0    0.074490
310.0    0.068981
320.0    0.063302
330.0    0.057456
340.0    0.051447
350.0    0.045278
360.0    0.038952
370.0    0.032473
380.0    0.025843
390.0    0.019065
400.0    0.012142
410.0    0.005077
420.0    -0.002128
430.0    -0.009469
440.0    -0.016945
450.0    -0.024552
460.0    -0.032290
470.0    -0.040154
480.0    -0.048144
490.0    -0.056257
500.0    -0.064491
510.0    -0.072843
520.0    -0.081312
530.0    -0.089896
540.0    -0.098594
550.0    -0.107402
560.0    -0.116320
570.0    -0.125346
580.0    -0.134479
590.0    -0.143715
600.0    -0.153055
610.0    -0.162496
620.0    -0.172038
630.0    -0.181677
640.0    -0.191414
650.0    -0.201247
660.0    -0.211174
670.0    -0.221195
680.0    -0.231307
690.0    -0.241510
700.0    -0.251803
710.0    -0.262184
720.0    -0.272652
730.0    -0.283206
740.0    -0.293845
750.0    -0.304568
760.0    -0.315374
770.0    -0.326262
780.0    -0.337231
790.0    -0.348280
800.0    -0.359407
810.0    -0.370613
820.0    -0.381896
830.0    -0.393255
840.0    -0.404690
850.0    -0.416199
860.0    -0.427782
870.0    -0.439438
880.0    -0.451166
890.0    -0.462965
900.0    -0.474835
910.0    -0.486775
920.0    -0.498784
930.0    -0.510861
940.0    -0.523006
950.0    -0.535219
960.0    -0.547497
970.0    -0.559841
980.0    -0.572251
990.0    -0.584725
1000.0    -0.597262
1010.0    -0.609863
1020.0    -0.622526
1030.0    -0.635252
1040.0    -0.648038
1050.0    -0.660886
1060.0    -0.673794
1070.0    -0.686762
1080.0    -0.699789
1090.0    -0.712874
1100.0    -0.726018
1110.0    -0.739220
1120.0    -0.752478
1130.0    -0.765794
1140.0    -0.779165
1150.0    -0.792592
1160.0    -0.806075
1170.0    -0.819612
1180.0    -0.833204
1190.0    -0.846849
1200.0    -0.860548
1210.0    -0.874300
1220.0    -0.888104
1230.0    -0.901961
1240.0    -0.915869
1250.0    -0.929829
1260.0    -0.943840
1270.0    -0.957901
1280.0    -0.972012
1290.0    -0.986174
1300.0    -1.000384
1310.0    -1.014644
1320.0    -1.028952
1330.0    -1.043309
1340.0    -1.057713
1350.0    -1.072166
1360.0    -1.086665
1370.0    -1.101211
1380.0    -1.115804
1390.0    -1.130444
1400.0    -1.145129
1410.0    -1.159860
1420.0    -1.174636
1430.0    -1.189457
1440.0    -1.204323
1450.0    -1.219233
1460.0    -1.234187
1470.0    -1.249185
1480.0    -1.264226
1490.0    -1.279311
1500.0    -1.294439
1510.0    -1.309609
1520.0    -1.324821
1530.0    -1.340076
1540.0    -1.355373
1550.0    -1.370711
1560.0    -1.386090
1570.0    -1.401510
1580.0    -1.416971
1590.0    -1.432473
1600.0    -1.448015
1610.0    -1.463597
1620.0    -1.479218
1630.0    -1.494880
1640.0    -1.510580
1650.0    -1.526320
1660.0    -1.542098
1670.0    -1.557915
1680.0    -1.573770
1690.0    -1.589664
1700.0    -1.605595
1710.0    -1.621564
1720.0    -1.637571
1730.0    -1.653615
1740.0    -1.669696
1750.0    -1.685814
1760.0    -1.701968
1770.0    -1.718159
1780.0    -1.734386
1790.0    -1.750649
1800.0    -1.766948
1810.0    -1.783282
1820.0    -1.799652
1830.0    -1.816058
1840.0    -1.832498
1850.0    -1.848973
1860.0    -1.865483
1870.0    -1.882027
1880.0    -1.898606
1890.0    -1.915219
1900.0    -1.931865
1910.0    -1.948546
1920.0    -1.965260
1930.0    -1.982008
1940.0    -1.998788
1950.0    -2.015602
1960.0    -2.032449
1970.0    -2.049329
1980.0    -2.066241
1990.0    -2.083186
2000.0    -2.100162
