 Time | Epoch | Learning rate | Train loss | Validation loss | MAE_energy | MAE_energy_grad | GPU Memory (MB)
40:56 |     1 |     1.000e-04 |     4.4901 |          3.2142 |     3.7141 |          0.8787 |            1757
41:48 |     2 |     1.000e-04 |     5.8255 |          3.5654 |     4.2784 |          0.8564 |            1757
42:41 |     3 |     1.000e-04 |     3.0724 |          2.6609 |     3.3953 |          0.7811 |            1757
43:34 |     4 |     1.000e-04 |     4.6099 |          4.0407 |     4.2959 |          0.9533 |            1757
44:27 |     5 |     1.000e-04 |     3.3521 |          3.0811 |     3.2642 |          0.8573 |            1757
45:19 |     6 |     1.000e-04 |     3.3313 |          5.5778 |     7.1026 |          0.8867 |            1856
46:12 |     7 |     1.000e-04 |     6.1436 |          5.3826 |     4.9303 |          1.1101 |            1856
47:05 |     8 |     1.000e-04 |    14.8386 |         16.0114 |    10.0040 |          1.9172 |            1856
47:58 |     9 |     1.000e-04 |     8.6456 |          2.6738 |     3.0939 |          0.8197 |            1856
48:50 |    10 |     1.000e-04 |     2.3245 |          2.5000 |     3.1496 |          0.7680 |            1856
49:43 |    11 |     1.000e-04 |     2.3298 |          2.9197 |     3.1314 |          0.8283 |            1856
50:36 |    12 |     1.000e-04 |     2.5231 |          2.6997 |     3.1774 |          0.7826 |            1856
51:29 |    13 |     1.000e-04 |     3.9278 |         11.3222 |    10.7148 |          1.0769 |            1856
52:22 |    14 |     1.000e-04 |     2.7723 |          2.8320 |     3.3548 |          0.7854 |            1856
53:15 |    15 |     1.000e-04 |     2.8187 |          4.9850 |     5.0896 |          0.8240 |            1856
54:08 |    16 |     1.000e-04 |     3.8625 |         10.6015 |     9.0574 |          1.0398 |            1856
55:01 |    17 |     1.000e-04 |     4.4916 |          3.6807 |     3.3903 |          0.8675 |            1856
55:53 |    18 |     1.000e-04 |     2.9524 |          3.7285 |     4.0277 |          0.8100 |            1856
56:46 |    19 |     1.000e-04 |     4.1023 |          2.7939 |     3.2334 |          0.7881 |            1856
57:39 |    20 |     1.000e-04 |     2.8390 |          3.5793 |     4.1214 |          0.8420 |            1856
58:32 |    21 |     1.000e-04 |     3.7482 |          3.8136 |     5.0044 |          0.8024 |            1928
59:25 |    22 |     1.000e-04 |     5.7465 |          4.5882 |     4.9773 |          0.8512 |            1928
00:18 |    23 |     1.000e-04 |     4.1941 |          4.3222 |     4.6584 |          0.9006 |            1928
01:10 |    24 |     1.000e-04 |     2.9704 |          3.1787 |     3.5325 |          0.8338 |            1928
02:03 |    25 |     1.000e-04 |     3.7850 |          3.4695 |     3.9352 |          0.8199 |            1928
02:55 |    26 |     1.000e-04 |     2.6316 |         11.8806 |     8.7252 |          0.8603 |            1928
03:48 |    27 |     1.000e-04 |     3.6166 |          6.1333 |     7.1869 |          0.8803 |            1928
04:41 |    28 |     1.000e-04 |    17.7104 |         17.4621 |    10.6116 |          1.7945 |            1928
05:34 |    29 |     1.000e-04 |     4.8160 |          3.1775 |     3.0995 |          0.8818 |            1928
06:27 |    30 |     1.000e-04 |     2.2815 |          2.8604 |     2.8252 |          0.8209 |            1928
07:19 |    31 |     1.000e-04 |     2.1158 |          2.6859 |     2.8181 |          0.7758 |            1928
08:12 |    32 |     1.000e-04 |     2.0983 |          3.1543 |     3.5854 |          0.8000 |            1928
09:05 |    33 |     1.000e-04 |     2.5166 |          3.0125 |     3.2691 |          0.7918 |            1928
09:58 |    34 |     1.000e-04 |     2.4174 |          2.9847 |     3.3304 |          0.7816 |            1928
10:51 |    35 |     1.000e-04 |     2.6304 |          3.4312 |     3.6926 |          0.8094 |            1928
11:43 |    36 |     1.000e-04 |     2.8563 |          5.0351 |     5.9335 |          0.8689 |            1928
12:36 |    37 |     1.000e-04 |     3.0033 |          4.2971 |     4.5820 |          0.8655 |            1928
13:29 |    38 |     1.000e-04 |     5.8535 |          3.4184 |     3.4835 |          0.8534 |            1928
14:22 |    39 |     1.000e-04 |     7.2091 |          4.1195 |     3.7004 |          0.9544 |            1928
15:15 |    40 |     1.000e-04 |     2.3741 |          2.8487 |     3.0678 |          0.7483 |            1928
16:07 |    41 |     1.000e-04 |     2.9767 |          4.2734 |     4.7235 |          0.8352 |            1928
17:00 |    42 |     1.000e-04 |     3.8504 |          3.2806 |     3.2574 |          0.8521 |            1928
17:53 |    43 |     1.000e-04 |     2.5287 |          4.8271 |     4.4810 |          0.8094 |            1928
18:46 |    44 |     1.000e-04 |     3.0645 |          4.1252 |     4.2926 |          0.8578 |            1928
19:39 |    45 |     1.000e-04 |     2.9405 |          4.3908 |     4.1660 |          0.9606 |            1928
