# First_column    Converted_second_column
300.0    -0.030663
310.0    -0.050360
320.0    -0.070430
330.0    -0.090865
340.0    -0.111656
350.0    -0.132797
360.0    -0.154280
370.0    -0.176098
380.0    -0.198243
390.0    -0.220711
400.0    -0.243493
410.0    -0.266586
420.0    -0.289981
430.0    -0.313675
440.0    -0.337660
450.0    -0.361933
460.0    -0.386489
470.0    -0.411321
480.0    -0.436425
490.0    -0.461798
500.0    -0.487434
510.0    -0.513328
520.0    -0.539478
530.0    -0.565878
540.0    -0.592525
550.0    -0.619415
560.0    -0.646544
570.0    -0.673909
580.0    -0.701505
590.0    -0.729330
600.0    -0.757381
610.0    -0.785653
620.0    -0.814145
630.0    -0.842852
640.0    -0.871771
650.0    -0.900901
660.0    -0.930238
670.0    -0.959779
680.0    -0.989521
690.0    -1.019463
700.0    -1.049600
710.0    -1.079932
720.0    -1.110455
730.0    -1.141167
740.0    -1.172065
750.0    -1.203148
760.0    -1.234413
770.0    -1.265858
780.0    -1.297481
790.0    -1.329280
800.0    -1.361252
810.0    -1.393396
820.0    -1.425710
830.0    -1.458192
840.0    -1.490840
850.0    -1.523652
860.0    -1.556627
870.0    -1.589762
880.0    -1.623056
890.0    -1.656507
900.0    -1.690115
910.0    -1.723876
920.0    -1.757789
930.0    -1.791854
940.0    -1.826068
950.0    -1.860429
960.0    -1.894938
970.0    -1.929591
980.0    -1.964388
990.0    -1.999327
1000.0    -2.034407
1010.0    -2.069626
1020.0    -2.104984
1030.0    -2.140478
1040.0    -2.176109
1050.0    -2.211873
1060.0    -2.247771
1070.0    -2.283802
1080.0    -2.319962
1090.0    -2.356253
1100.0    -2.392672
1110.0    -2.429219
1120.0    -2.465892
1130.0    -2.502691
1140.0    -2.539614
1150.0    -2.576659
1160.0    -2.613828
1170.0    -2.651117
1180.0    -2.688526
1190.0    -2.726055
1200.0    -2.763702
1210.0    -2.801466
1220.0    -2.839347
1230.0    -2.877343
1240.0    -2.915453
1250.0    -2.953678
1260.0    -2.992015
1270.0    -3.030464
1280.0    -3.069024
1290.0    -3.107694
1300.0    -3.146474
1310.0    -3.185362
1320.0    -3.224358
1330.0    -3.263461
1340.0    -3.302671
1350.0    -3.341985
1360.0    -3.381405
1370.0    -3.420928
1380.0    -3.460555
1390.0    -3.500284
1400.0    -3.540115
1410.0    -3.580048
1420.0    -3.620080
1430.0    -3.660212
1440.0    -3.700444
1450.0    -3.740773
1460.0    -3.781200
1470.0    -3.821725
1480.0    -3.862346
1490.0    -3.903062
1500.0    -3.943874
1510.0    -3.984780
1520.0    -4.025780
1530.0    -4.066874
1540.0    -4.108060
1550.0    -4.149338
1560.0    -4.190708
1570.0    -4.232169
1580.0    -4.273720
1590.0    -4.315361
1600.0    -4.357092
1610.0    -4.398911
1620.0    -4.440819
1630.0    -4.482814
1640.0    -4.524896
1650.0    -4.567065
1660.0    -4.609320
1670.0    -4.651661
1680.0    -4.694087
1690.0    -4.736597
1700.0    -4.779192
1710.0    -4.821870
1720.0    -4.864631
1730.0    -4.907476
1740.0    -4.950402
1750.0    -4.993410
1760.0    -5.036500
1770.0    -5.079670
1780.0    -5.122921
1790.0    -5.166251
1800.0    -5.209662
1810.0    -5.253151
1820.0    -5.296719
1830.0    -5.340365
1840.0    -5.384089
1850.0    -5.427891
1860.0    -5.471769
1870.0    -5.515724
1880.0    -5.559755
1890.0    -5.603862
1900.0    -5.648045
1910.0    -5.692302
1920.0    -5.736634
1930.0    -5.781041
1940.0    -5.825521
1950.0    -5.870074
1960.0    -5.914701
1970.0    -5.959400
1980.0    -6.004172
1990.0    -6.049016
2000.0    -6.093932
