# First_column    Converted_second_column
300.0    0.139096
310.0    0.122911
320.0    0.106310
330.0    0.089302
340.0    0.071897
350.0    0.054103
360.0    0.035929
370.0    0.017383
380.0    -0.001526
390.0    -0.020793
400.0    -0.040408
410.0    -0.060366
420.0    -0.080658
430.0    -0.101280
440.0    -0.122225
450.0    -0.143486
460.0    -0.165058
470.0    -0.186934
480.0    -0.209111
490.0    -0.231582
500.0    -0.254343
510.0    -0.277387
520.0    -0.300712
530.0    -0.324311
540.0    -0.348182
550.0    -0.372318
560.0    -0.396717
570.0    -0.421373
580.0    -0.446284
590.0    -0.471445
600.0    -0.496853
610.0    -0.522503
620.0    -0.548393
630.0    -0.574519
640.0    -0.600878
650.0    -0.627466
660.0    -0.654280
670.0    -0.681318
680.0    -0.708575
690.0    -0.736051
700.0    -0.763741
710.0    -0.791642
720.0    -0.819753
730.0    -0.848070
740.0    -0.876591
750.0    -0.905313
760.0    -0.934234
770.0    -0.963352
780.0    -0.992664
790.0    -1.022169
800.0    -1.051862
810.0    -1.081744
820.0    -1.111810
830.0    -1.142061
840.0    -1.172492
850.0    -1.203103
860.0    -1.233891
870.0    -1.264854
880.0    -1.295992
890.0    -1.327300
900.0    -1.358779
910.0    -1.390426
920.0    -1.422240
930.0    -1.454218
940.0    -1.486360
950.0    -1.518663
960.0    -1.551126
970.0    -1.583747
980.0    -1.616526
990.0    -1.649459
1000.0    -1.682547
1010.0    -1.715787
1020.0    -1.749177
1030.0    -1.782718
1040.0    -1.816407
1050.0    -1.850242
1060.0    -1.884223
1070.0    -1.918349
1080.0    -1.952617
1090.0    -1.987027
1100.0    -2.021578
1110.0    -2.056268
1120.0    -2.091096
1130.0    -2.126061
1140.0    -2.161161
1150.0    -2.196397
1160.0    -2.231766
1170.0    -2.267267
1180.0    -2.302900
1190.0    -2.338663
1200.0    -2.374555
1210.0    -2.410575
1220.0    -2.446723
1230.0    -2.482997
1240.0    -2.519396
1250.0    -2.555919
1260.0    -2.592566
1270.0    -2.629335
1280.0    -2.666225
1290.0    -2.703236
1300.0    -2.740366
1310.0    -2.777616
1320.0    -2.814983
1330.0    -2.852467
1340.0    -2.890067
1350.0    -2.927783
1360.0    -2.965613
1370.0    -3.003557
1380.0    -3.041614
1390.0    -3.079783
1400.0    -3.118063
1410.0    -3.156454
1420.0    -3.194954
1430.0    -3.233564
1440.0    -3.272282
1450.0    -3.311107
1460.0    -3.350040
1470.0    -3.389078
1480.0    -3.428222
1490.0    -3.467471
1500.0    -3.506824
1510.0    -3.546280
1520.0    -3.585839
1530.0    -3.625500
1540.0    -3.665263
1550.0    -3.705126
1560.0    -3.745090
1570.0    -3.785153
1580.0    -3.825315
1590.0    -3.865575
1600.0    -3.905933
1610.0    -3.946389
1620.0    -3.986940
1630.0    -4.027588
1640.0    -4.068331
1650.0    -4.109169
1660.0    -4.150101
1670.0    -4.191127
1680.0    -4.232246
1690.0    -4.273458
1700.0    -4.314762
1710.0    -4.356157
1720.0    -4.397644
1730.0    -4.439220
1740.0    -4.480887
1750.0    -4.522644
1760.0    -4.564489
1770.0    -4.606423
1780.0    -4.648445
1790.0    -4.690554
1800.0    -4.732751
1810.0    -4.775034
1820.0    -4.817403
1830.0    -4.859858
1840.0    -4.902398
1850.0    -4.945023
1860.0    -4.987732
1870.0    -5.030525
1880.0    -5.073402
1890.0    -5.116361
1900.0    -5.159403
1910.0    -5.202527
1920.0    -5.245733
1930.0    -5.289020
1940.0    -5.332388
1950.0    -5.375836
1960.0    -5.419364
1970.0    -5.462972
1980.0    -5.506660
1990.0    -5.550426
2000.0    -5.594270
