# First_column    Converted_second_column
300.0    0.215524
310.0    0.201835
320.0    0.187758
330.0    0.173301
340.0    0.158471
350.0    0.143275
360.0    0.127722
370.0    0.111818
380.0    0.095569
390.0    0.078983
400.0    0.062066
410.0    0.044823
420.0    0.027261
430.0    0.009386
440.0    -0.008796
450.0    -0.027282
460.0    -0.046064
470.0    -0.065139
480.0    -0.084501
490.0    -0.104145
500.0    -0.124067
510.0    -0.144262
520.0    -0.164726
530.0    -0.185455
540.0    -0.206445
550.0    -0.227691
560.0    -0.249190
570.0    -0.270938
580.0    -0.292931
590.0    -0.315166
600.0    -0.337640
610.0    -0.360348
620.0    -0.383288
630.0    -0.406456
640.0    -0.429850
650.0    -0.453465
660.0    -0.477301
670.0    -0.501352
680.0    -0.525617
690.0    -0.550093
700.0    -0.574777
710.0    -0.599667
720.0    -0.624759
730.0    -0.650052
740.0    -0.675544
750.0    -0.701230
760.0    -0.727110
770.0    -0.753182
780.0    -0.779441
790.0    -0.805888
800.0    -0.832519
810.0    -0.859333
820.0    -0.886327
830.0    -0.913499
840.0    -0.940848
850.0    -0.968371
860.0    -0.996067
870.0    -1.023934
880.0    -1.051970
890.0    -1.080173
900.0    -1.108542
910.0    -1.137075
920.0    -1.165769
930.0    -1.194625
940.0    -1.223639
950.0    -1.252811
960.0    -1.282139
970.0    -1.311621
980.0    -1.341255
990.0    -1.371042
1000.0    -1.400978
1010.0    -1.431063
1020.0    -1.461295
1030.0    -1.491673
1040.0    -1.522196
1050.0    -1.552862
1060.0    -1.583670
1070.0    -1.614618
1080.0    -1.645706
1090.0    -1.676933
1100.0    -1.708296
1110.0    -1.739795
1120.0    -1.771429
1130.0    -1.803197
1140.0    -1.835097
1150.0    -1.867129
1160.0    -1.899291
1170.0    -1.931582
1180.0    -1.964001
1190.0    -1.996548
1200.0    -2.029220
1210.0    -2.062018
1220.0    -2.094940
1230.0    -2.127985
1240.0    -2.161152
1250.0    -2.194441
1260.0    -2.227850
1270.0    -2.261379
1280.0    -2.295026
1290.0    -2.328790
1300.0    -2.362672
1310.0    -2.396669
1320.0    -2.430782
1330.0    -2.465009
1340.0    -2.499349
1350.0    -2.533802
1360.0    -2.568367
1370.0    -2.603042
1380.0    -2.637828
1390.0    -2.672724
1400.0    -2.707728
1410.0    -2.742840
1420.0    -2.778060
1430.0    -2.813386
1440.0    -2.848817
1450.0    -2.884354
1460.0    -2.919995
1470.0    -2.955740
1480.0    -2.991588
1490.0    -3.027538
1500.0    -3.063590
1510.0    -3.099743
1520.0    -3.135996
1530.0    -3.172349
1540.0    -3.208802
1550.0    -3.245352
1560.0    -3.282001
1570.0    -3.318746
1580.0    -3.355589
1590.0    -3.392527
1600.0    -3.429561
1610.0    -3.466690
1620.0    -3.503913
1630.0    -3.541230
1640.0    -3.578640
1650.0    -3.616143
1660.0    -3.653737
1670.0    -3.691424
1680.0    -3.729201
1690.0    -3.767069
1700.0    -3.805027
1710.0    -3.843074
1720.0    -3.881211
1730.0    -3.919435
1740.0    -3.957748
1750.0    -3.996148
1760.0    -4.034635
1770.0    -4.073209
1780.0    -4.111868
1790.0    -4.150613
1800.0    -4.189444
1810.0    -4.228358
1820.0    -4.267357
1830.0    -4.306440
1840.0    -4.345606
1850.0    -4.384854
1860.0    -4.424186
1870.0    -4.463599
1880.0    -4.503093
1890.0    -4.542669
1900.0    -4.582325
1910.0    -4.622061
1920.0    -4.661878
1930.0    -4.701774
1940.0    -4.741748
1950.0    -4.781802
1960.0    -4.821933
1970.0    -4.862143
1980.0    -4.902430
1990.0    -4.942794
2000.0    -4.983235
