# Tetrahedron method
      -23.4707196387        0.0000000000
      -23.2280657276        0.0000000000
      -22.9854118165        0.0000000000
      -22.7427579054        0.0000000000
      -22.5001039943        0.0000000000
      -22.2574500832        0.0000000000
      -22.0147961721        0.0000000000
      -21.7721422610        0.0000000000
      -21.5294883499        0.0000000000
      -21.2868344388        0.0000000000
      -21.0441805277        0.0000000000
      -20.8015266166        0.0000000000
      -20.5588727055        0.0000000000
      -20.3162187944        0.0000000000
      -20.0735648833        0.0000000000
      -19.8309109722        0.0000000000
      -19.5882570611        0.0000000000
      -19.3456031500        0.0042090961
      -19.1029492389        0.0094641576
      -18.8602953278        0.0129890356
      -18.6176414167        0.0160691456
      -18.3749875056        0.0187845633
      -18.1323335945        0.0213865558
      -17.8896796834        0.0239037355
      -17.6470257723        0.0264692480
      -17.4043718612        0.0289350542
      -17.1617179501        0.0315710224
      -16.9190640390        0.0342816098
      -16.6764101279        0.0370991177
      -16.4337562168        0.0463670826
      -16.1911023057        0.0767973270
      -15.9484483946        0.0954298572
      -15.7057944835        0.1129032360
      -15.4631405724        0.1311340753
      -15.2204866613        0.1513806679
      -14.9778327502        0.1759484085
      -14.7351788391        0.2143107281
      -14.4925249280        0.2533931154
      -14.2498710169        0.2831079847
      -14.0072171058        0.3249787930
      -13.7645631947        0.3896501930
      -13.5219092836        0.4726629278
      -13.2792553725        0.5418468745
      -13.0366014614        0.6643507343
      -12.7939475503        0.6633843655
      -12.5512936392        0.6371269324
      -12.3086397281        0.6628036948
      -12.0659858170        0.7082444056
      -11.8233319059        0.6473753830
      -11.5806779948        0.8004310806
      -11.3380240837        0.8594545805
      -11.0953701726        1.0544673824
      -10.8527162615        1.2192696354
      -10.6100623504        1.4716935074
      -10.3674084393        1.3620526008
      -10.1247545282        1.5809084656
       -9.8821006171        1.8090876115
       -9.6394467060        1.7726649096
       -9.3967927949        1.7124836491
       -9.1541388838        2.0203705286
       -8.9114849727        2.3792157316
       -8.6688310616        2.1990221690
       -8.4261771505        2.5737440407
       -8.1835232394        2.3483828964
       -7.9408693283        2.5407389360
       -7.6982154172        2.6545742046
       -7.4555615061        2.4643297339
       -7.2129075950        2.9876268686
       -6.9702536839        2.7196883934
       -6.7275997728        2.5437858861
       -6.4849458617        2.7178865348
       -6.2422919506        2.4507452916
       -5.9996380395        2.6145433788
       -5.7569841284        2.2347051013
       -5.5143302173        2.3636622858
       -5.2716763062        2.1721702123
       -5.0290223951        2.3138105140
       -4.7863684840        2.2592298676
       -4.5437145729        2.0666631949
       -4.3010606618        1.9155596240
       -4.0584067507        1.8578982233
       -3.8157528396        1.7208671212
       -3.5730989285        1.6136846951
       -3.3304450174        1.6086735906
       -3.0877911063        1.3940249988
       -2.8451371952        1.3354544960
       -2.6024832841        1.2938922384
       -2.3598293730        1.1358102456
       -2.1171754619        0.9472391024
       -1.8745215508        0.8308408833
       -1.6318676397        0.7906767369
       -1.3892137286        0.6426964987
       -1.1465598175        0.4538884734
       -0.9039059064        0.3181897859
       -0.6612519953        0.2322159825
       -0.4185980842        0.1868600075
       -0.1759441731        0.1748615456
        0.0667097380        0.1735026693
        0.3093636491        0.1790160497
        0.5520175602        0.2063118127
        0.7946714713        0.2837299807
        1.0373253824        0.4171228873
        1.2799792935        0.5551607826
        1.5226332046        0.7370525867
        1.7652871157        0.8347826633
        2.0079410268        0.9204093592
        2.2505949379        1.0440671199
        2.4932488490        1.1197378548
        2.7359027601        1.2418787330
        2.9785566712        1.4494102326
        3.2212105823        1.4646276829
        3.4638644934        1.4038044389
        3.7065184045        1.6989561981
        3.9491723156        1.7111151868
        4.1918262267        1.7718834789
        4.4344801378        1.7675712362
        4.6771340489        1.6545671177
        4.9197879600        1.7751403276
        5.1624418711        1.7995554335
        5.4050957822        1.8368646323
        5.6477496933        1.7964374074
        5.8904036044        1.8977345632
        6.1330575155        1.8621035755
        6.3757114266        1.7878993468
        6.6183653377        1.7974031389
        6.8610192488        1.5770659419
        7.1036731599        1.3190615173
        7.3463270710        1.4162220164
        7.5889809821        1.5678932980
        7.8316348932        1.4602104001
        8.0742888043        1.2733713889
        8.3169427154        1.4285133116
        8.5595966265        1.1623201754
        8.8022505376        1.0692273926
        9.0449044487        0.9830538712
        9.2875583598        0.8490246899
        9.5302122709        0.7538189899
        9.7728661820        0.7229782582
       10.0155200931        0.6289552100
       10.2581740042        0.6516834973
       10.5008279153        0.6414471900
       10.7434818264        0.6283278091
       10.9861357375        0.4249752032
       11.2287896486        0.3091926339
       11.4714435597        0.2999892746
       11.7140974708        0.2840955009
       11.9567513819        0.2313361065
       12.1994052930        0.2392030945
       12.4420592041        0.2416205638
       12.6847131152        0.2417200011
       12.9273670263        0.2454980782
       13.1700209374        0.2538121972
       13.4126748485        0.2805567797
       13.6553287596        0.2724690538
       13.8979826707        0.2721362880
       14.1406365818        0.2766589173
       14.3832904929        0.2858031298
       14.6259444040        0.3081711379
       14.8685983151        0.3239154718
       15.1112522262        0.3168811485
       15.3539061373        0.3051055308
       15.5965600484        0.2694511672
       15.8392139595        0.2053936284
       16.0818678706        0.1663673019
       16.3245217817        0.1543705882
       16.5671756928        0.1451805670
       16.8098296039        0.1356936731
       17.0524835150        0.0714699675
       17.2951374261        0.0595781842
       17.5377913372        0.0482338583
       17.7804452483        0.0299238314
       18.0230991594        0.0267691467
       18.2657530705        0.0246731313
       18.5084069816        0.0227869728
       18.7510608927        0.0210643868
       18.9937148038        0.0194952884
       19.2363687149        0.0178164512
       19.4790226260        0.0163665571
       19.7216765371        0.0146903678
